,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
2062,Ohio,Delaware,185433,96980.75105294095,35,87.12689542853752,2.3347990918552797,3.557287537816893,4.752862759055832,0.08905480685746334,2.1075391111614445,49.485258826638194,50.51474117336181
2124,Ohio,Warren,215336,79987.28034327748,32,88.70539018092654,2.388319649292269,2.3596444626072746,4.615559404837091,0.06703941746851431,1.8493238473826963,49.13251848274325,50.86748151725675
2598,Tennessee,Williamson,199456,100922.30177583026,37,85.82616717471522,4.669799354243543,4.367408852077651,3.5643911439114397,0.11852037542114552,1.441399105567141,48.76163163805551,51.23836836194449
2768,Texas,Montgomery,502586,75371.62266756337,59,69.09711691133457,22.166415101097126,3.422382438030506,2.4618065365927424,0.3228173884668494,2.504450780562929,49.52764303024756,50.47235696975244
2858,Utah,Davis,323374,76112.29262711288,54,84.86135929295492,8.985018585291336,1.1105521779734917,1.9002622350590963,0.24963231428624444,2.306312505025141,50.31418728778442,49.68581271221558
2898,Virginia,Alexandria city,149315,99033.52138767036,38,52.40264474433246,16.558951880253154,20.905869470582328,6.460035495429126,0.11434283226735428,3.558155577135585,48.258379935036665,51.741620064963335
2903,Virginia,Arlington,223921,116847.26527659308,57,63.014797182935055,15.463586711384814,8.299074673657229,9.858663546518638,0.26383010079447666,3.0159274922852264,50.01853332201982,49.98146667798018
2921,Virginia,Chesterfield,328176,77695.62115145531,71,63.7080910852713,7.745508812344597,22.306200026814878,3.4189313051533334,0.2245602969138511,2.5565982887231247,48.132709277948415,51.867290722051585
2952,Virginia,Hanover,101340,79705.56242352477,23,84.69323761594629,2.4895934477994874,9.23517465956187,1.4551993289915137,0.14092757055456878,1.9704164199723706,49.029998026445625,50.97000197355437
2966,Virginia,Loudoun,351129,128267.53382090342,64,59.286159217837344,13.178756240583947,7.1571342725892775,16.105125466708817,0.18922931458238992,4.018314636501115,49.55045011947176,50.449549880528245
3012,Virginia,Spotsylvania,127691,79612.08813463752,30,70.58342248083262,8.30287569210046,15.631351465647544,2.4986537813941467,0.2660485077256815,2.5645276487771254,49.13580440281618,50.86419559718382
3013,Virginia,Stafford,137145,100603.26182507565,27,65.57747785190855,10.6582616938277,16.670459732400012,2.9011637318166907,0.3238987932480222,3.7804520762696443,50.351817419519485,49.648182580480515
