Yelp_id	Address	Name	Price	Rating	Review Count	Latitude	Longitude	City	Zipcode	Category1	Category2	Category3	County	Tract
ranch-town-liquor-store-san-dimas	{'address1': '1112 N San Dimas Ave', 'address2': '', 'address3': '', 'city': 'San Dimas', 'zip_code': '91773', 'country': 'US', 'state': 'CA', 'display_address': ['1112 N San Dimas Ave', 'San Dimas, CA 91773']}	Ranch Town Liquor Store	1	3.5	36	-117.80672	34.121959999999994	San Dimas	91773	Convenience Stores	Beer, Wine & Spirits	Delis	Los Angeles County	400403.0
star-wok-claremont	{'address1': '2062 N Mills Ave', 'address2': '', 'address3': '', 'city': 'Claremont', 'zip_code': '91711', 'country': 'US', 'state': 'CA', 'display_address': ['2062 N Mills Ave', 'Claremont, CA 91711']}	Star Wok	1	3.0	51	-117.707105800509	34.1209555417299	Claremont	91711	Chinese			Los Angeles County	401800.0
stater-bros-markets-la-verne-3	{'address1': '2090 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2090 Foothill Blvd', 'La Verne, CA 91750']}	Stater Bros. Markets	2	3.0	28	-117.76607299999999	34.112576000000004	La Verne	91750	Grocery	Delis	Butcher	Los Angeles County	401602.0
sals-pizza-and-bagelry-la-verne-2	{'address1': '2095 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2095 Foothill Blvd', 'La Verne, CA 91750']}	Sal's Pizza and Bagelry	1	3.5	209	-117.765311721095	34.1138259407899	La Verne	91750	Bagels	Pizza	Italian	Los Angeles County	401601.0
kosmos-burgers-ii-san-dimas	{'address1': '416 E Foothill Blvd', 'address2': '', 'address3': '', 'city': 'San Dimas', 'zip_code': '91773', 'country': 'US', 'state': 'CA', 'display_address': ['416 E Foothill Blvd', 'San Dimas, CA 91773']}	Kosmos Burgers II	1	3.0	161	-117.80021667480499	34.123138427734396	San Dimas	91773	Burgers	Fast Food		Los Angeles County	400403.0
la-verne-pizza-co-la-verne	{'address1': '3836 Emerald Ave', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['3836 Emerald Ave', 'La Verne, CA 91750']}	La Verne Pizza Co.	1	3.0	57	-117.7680122	34.115389799999996	La Verne	91750	Pizza			Los Angeles County	401601.0
chef-cs-smhokin-pot-gardena-7	{'address1': None, 'address2': None, 'address3': '', 'city': 'Gardena', 'zip_code': '90249', 'country': 'US', 'state': 'CA', 'display_address': ['Gardena, CA 90249']}	Chef C's Smhokin Pot	2	4.5	26	-118.317733764648	33.9011001586914	Gardena	90249	Cajun/Creole	Food Trucks	Barbeque	Los Angeles County	603500.0
fettes-schwein-food-truck-los-angeles-3	{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90011', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90011']}	Fettes Schwein Food Truck	1	4.5	14	-118.259078979492	34.0047569274902	Los Angeles	90011	Food Trucks	Hot Dogs	Burgers	Los Angeles County	228600.0
round-table-pizza-claremont-2	{'address1': '598 E Baseline Rd', 'address2': '', 'address3': '', 'city': 'Claremont', 'zip_code': '91711', 'country': 'US', 'state': 'CA', 'display_address': ['598 E Baseline Rd', 'Claremont, CA 91711']}	Round Table Pizza	2	3.5	44	-117.7055479	34.1214851	Claremont	91711	Pizza			Los Angeles County	401800.0
wingstop-la-verne	{'address1': '2369 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2369 Foothill Blvd', 'La Verne, CA 91750']}	Wingstop	2	2.5	75	-117.7596371	34.111728799999995	La Verne	91750	Chicken Wings			Los Angeles County	401601.0
jersey-mikes-subs-la-verne	{'address1': '2212 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2212 Foothill Blvd', 'La Verne, CA 91750']}	Jersey Mike's Subs	2	3.5	77	-117.76313396772	34.1120166017592	La Verne	91750	Sandwiches	Fast Food	Delis	Los Angeles County	401602.0
mcdonalds-la-verne-2	{'address1': '2269 Foothill Blvd', 'address2': None, 'address3': None, 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2269 Foothill Blvd', 'La Verne, CA 91750']}	McDonald's	1	3.0	84	-117.76201699999999	34.112794	La Verne	91750	Coffee & Tea	Burgers	Fast Food	Los Angeles County	401601.0
fukuya-sushi-la-verne	{'address1': '2084 Foothill Blvd', 'address2': 'Ste C', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2084 Foothill Blvd', 'Ste C', 'La Verne, CA 91750']}	Fukuya Sushi	2	3.5	113	-117.76611329999999	34.11343770000001	La Verne	91750	Sushi Bars	Japanese		Los Angeles County	401602.0
togos-sandwiches-la-verne	{'address1': '1253 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1253 Foothill Blvd', 'La Verne, CA 91750']}	TOGO'S Sandwiches	1	4.0	59	-117.7800058	34.118519899999995	La Verne	91750	Sandwiches	Delis	Fast Food	Los Angeles County	401601.0
