,census_tract,total_pop,not_impoverished_percap,impoverished_percap
213,124903,1665,934,0.439039039039039
214,125100,1792,1007,0.4380580357142857
215,433802,0,0,
216,125200,1699,961,0.43437316068275456
217,125310,3638,2054,0.4354040681693238
218,125320,2150,1213,0.4358139534883721
219,125401,2419,1352,0.441091360066143
220,125402,1163,661,0.4316423043852107
221,125501,1578,890,0.43599493029150826
222,125502,1669,939,0.4373876572798083
223,125600,506,294,0.4189723320158103
224,127102,6377,3690,0.4213580053316607
225,127103,2661,1571,0.4096204434423149
226,127104,5821,3246,0.4423638550077306
227,127210,6117,3607,0.4103318620238679
228,127220,6856,3939,0.42546674445740956
229,127300,3821,2252,0.4106254907092384
230,127400,6783,4007,0.4092584402181925
231,127520,5322,3150,0.4081172491544532
232,127603,2984,1779,0.40382037533512066
233,127604,2972,1756,0.40915208613728127
234,127605,2738,1619,0.40869247626004385
235,127606,3662,2157,0.4109776078645549
236,127711,2789,1649,0.4087486554320545
237,127712,4471,2554,0.42876314023708345
238,127803,3170,1885,0.40536277602523657
239,127804,2555,1510,0.4090019569471624
240,127805,2592,1535,0.4077932098765432
241,127806,3275,1934,0.40946564885496184
242,127910,5820,3408,0.4144329896907217
243,127920,3122,1846,0.40871236386931453
244,128101,2836,1671,0.4107898448519041
245,128102,5124,3026,0.4094457455113193
246,128210,7316,4188,0.42755604155276106
247,128220,2151,1269,0.4100418410041841
248,128302,6166,3611,0.41436912098605255
249,128303,5149,3048,0.40804039619343563
250,128400,802,479,0.4027431421446384
251,128500,1991,1166,0.4143646408839779
252,128601,4047,2380,0.41191005683222137
253,128602,872,514,0.4105504587155963
254,128702,1620,953,0.41172839506172837
255,128801,1366,799,0.4150805270863836
256,128802,768,457,0.4049479166666667
257,128910,609,363,0.4039408866995074
258,131010,4653,2698,0.4201590371803138
259,131020,3162,1837,0.4190385831752056
260,131100,863,506,0.41367323290845887
261,131200,1064,627,0.4107142857142857
262,131300,2292,1338,0.4162303664921466
263,131400,2164,1265,0.4154343807763401
264,131600,2586,1501,0.4195668986852282
265,131701,2389,1380,0.4223524487233152
266,131702,1211,708,0.4153592072667217
267,131800,3173,1849,0.41727072171446583
268,131900,2106,1229,0.4164292497625831
269,132001,885,520,0.4124293785310734
270,132002,1328,775,0.4164156626506024
271,132101,2013,1182,0.4128166915052161
272,132102,4080,2361,0.4213235294117647
273,132300,6314,3662,0.42001900538485903
274,132501,1667,971,0.4175164967006599
275,132502,1712,990,0.4217289719626168
276,980030,0,0,
277,132700,4917,2862,0.4179377669310555
278,132900,986,572,0.4198782961460446
279,133000,1059,628,0.40698772426817753
280,133100,1666,970,0.4177671068427371
281,134001,4673,2743,0.4130109137598973
282,134002,1748,1039,0.40560640732265446
283,134101,3120,1835,0.41185897435897434
284,134103,3587,2109,0.4120434903819348
285,134104,3011,1767,0.41315177681833276
286,134201,4351,2557,0.4123190071247989
287,134302,523,317,0.3938814531548757
288,134303,1572,935,0.40521628498727735
289,134304,1869,1092,0.4157303370786517
290,134305,7422,3929,0.4706278631096739
291,134306,2731,1601,0.4137678506041743
292,134421,630,377,0.4015873015873016
293,134422,1643,964,0.4132684114424833
294,134423,553,338,0.3887884267631103
295,134424,0,0,
296,134424,0,0,
297,134520,7528,4301,0.4286663124335813
298,134521,5102,2913,0.429047432379459
299,134522,5280,3038,0.4246212121212121
300,134710,7546,4263,0.43506493506493504
301,134720,3884,2280,0.4129763130792997
302,134800,2620,1545,0.41030534351145037
303,134901,1533,901,0.41226353555120676
304,134903,1950,1152,0.40923076923076923
305,134904,4085,2413,0.40930232558139534
306,134905,909,539,0.40704070407040704
307,135102,2234,1303,0.41674127126230975
308,135111,1083,635,0.4136657433056325
309,135113,1008,592,0.4126984126984127
310,135114,1568,921,0.41262755102040816
311,135201,767,452,0.4106910039113429
312,135202,699,417,0.4034334763948498
313,135203,1452,849,0.4152892561983471
314,135203,124,76,0.3870967741935484
315,137000,118,68,0.423728813559322
316,137103,968,570,0.41115702479338845
317,137104,547,330,0.396709323583181
318,137201,1424,829,0.4178370786516854
319,137301,284,179,0.36971830985915494
320,137302,981,568,0.42099898063200814
321,137401,1116,654,0.41397849462365593
322,137402,905,520,0.425414364640884
323,137501,1155,677,0.41385281385281386
324,137502,475,290,0.3894736842105263
325,137504,106,63,0.4056603773584906
326,138000,773,445,0.4243208279430789
327,139001,2380,1376,0.4218487394957983
328,139200,1995,1147,0.42506265664160403
329,139301,1470,846,0.42448979591836733
330,139302,2232,1281,0.4260752688172043
331,400205,0,0,
332,139303,4191,2403,0.4266284896206156
333,139401,1702,985,0.4212690951821387
334,139402,1243,711,0.42799678197908286
335,139502,616,364,0.4090909090909091
336,139503,2506,1437,0.4265762170790104
337,139504,1574,908,0.42312579415501905
338,139600,591,342,0.4213197969543147
339,139701,550,321,0.4163636363636364
340,139702,841,483,0.42568370986920334
341,139703,707,408,0.4229137199434229
342,139801,222,138,0.3783783783783784
343,139802,865,500,0.42196531791907516
344,141101,2060,1194,0.4203883495145631
345,141102,347,203,0.414985590778098
346,141201,1451,842,0.419710544452102
347,141202,501,294,0.41317365269461076
348,141302,2134,1237,0.42033739456419866
349,141303,1686,972,0.4234875444839858
350,141304,1001,588,0.4125874125874126
351,141400,1610,934,0.41987577639751555
352,141500,194,123,0.36597938144329895
353,141600,387,226,0.4160206718346253
354,141700,634,373,0.4116719242902208
355,143100,914,528,0.4223194748358862
356,143200,1328,773,0.41792168674698793
357,143300,1859,1082,0.4179666487358795
358,143400,2019,1165,0.42298167409608717
359,143500,1572,911,0.42048346055979646
360,143602,978,573,0.41411042944785276
361,143603,939,551,0.4132055378061768
362,143604,1552,903,0.4181701030927835
363,143700,374,226,0.39572192513368987
364,143800,1121,647,0.42283675289919714
365,143901,801,475,0.4069912609238452
366,143902,686,404,0.4110787172011662
367,181000,2743,1610,0.41305140357273057
368,181300,1188,708,0.40404040404040403
369,181400,3082,1823,0.40850097339390007
370,181500,776,468,0.39690721649484534
371,181600,848,515,0.392688679245283
372,183101,1539,915,0.40545808966861596
373,183103,2789,1713,0.3858013624955181
374,183104,716,454,0.3659217877094972
375,183220,2848,1694,0.40519662921348315
376,183221,1706,1016,0.4044548651817116
377,183222,2020,1194,0.4089108910891089
378,183300,2989,1778,0.405152224824356
379,183401,1132,680,0.3992932862190813
380,183402,1805,1069,0.40775623268698064
381,183510,1329,792,0.4040632054176072
382,183520,4119,2458,0.4032532168001942
383,183610,3575,2137,0.40223776223776225
384,183620,3600,2132,0.4077777777777778
385,183701,1906,1148,0.39769150052465896
386,183702,1099,661,0.39854413102820746
387,183810,5141,3069,0.403034429099397
388,183820,5020,2894,0.4235059760956175
389,185100,3626,2147,0.40788747931605074
390,185202,4229,2489,0.41144478600141876
391,185203,2035,1222,0.3995085995085995
392,185204,1503,891,0.40718562874251496
393,185310,3943,2321,0.41136190717727616
394,185320,1893,1128,0.4041204437400951
395,186100,1110,662,0.4036036036036036
396,186201,1779,1054,0.40753232152894886
397,186202,566,345,0.39045936395759717
398,186203,871,533,0.3880597014925373
399,186301,3316,1976,0.4041013268998794
400,980031,0,0,
401,186302,1709,1018,0.40433001755412523
402,186401,4496,2651,0.41036476868327404
403,186403,1580,954,0.3962025316455696
404,186404,2064,1239,0.3997093023255814
405,187101,1749,1110,0.3653516295025729
406,187102,1271,746,0.41306058221872544
407,187200,2258,1323,0.4140832595217006
408,187300,861,495,0.4250871080139373
409,188100,4240,2668,0.37075471698113205
410,188201,1079,629,0.4170528266913809
411,188202,505,296,0.41386138613861384
412,188300,1392,896,0.3563218390804598
413,189101,609,350,0.42528735632183906
414,189102,789,457,0.4207858048162231
415,189201,3035,1725,0.4316309719934102
416,189202,427,253,0.40749414519906324
417,189300,719,407,0.4339360222531293
418,189400,1258,728,0.42130365659777425
419,189500,1697,975,0.4254566882734237
420,189600,1930,1101,0.4295336787564767
421,189701,3412,2133,0.37485345838218054
422,189702,429,244,0.43123543123543123
423,189800,1403,804,0.4269422665716322
424,189902,2805,1594,0.431729055258467
425,189903,1257,719,0.42800318217979316
426,189904,1262,720,0.4294770206022187
427,189905,1130,643,0.43097345132743364
428,190100,3896,2216,0.43121149897330596
429,190201,3219,1814,0.436470953712333
430,190202,3095,1766,0.4294022617124394
431,190301,3132,1793,0.427522349936143
432,190401,2762,1573,0.43048515568428675
433,190402,3742,2096,0.4398717263495457
434,190510,4315,2464,0.4289687137891078
435,190520,5983,3324,0.44442587330770517
436,190700,3394,1929,0.4316440777843253
437,190801,3370,1897,0.4370919881305638
438,190802,2743,1575,0.4258111556689756
439,190901,5108,2967,0.41914643696162884
440,190902,3244,1877,0.4213933415536375
441,191000,2940,1694,0.4238095238095238
442,191110,2877,1644,0.42857142857142855
443,191120,3846,2212,0.4248569942797712
444,191201,3438,1972,0.4264107038976149
445,191203,3109,1784,0.4261820521067867
446,191204,1995,1150,0.42355889724310775
447,191301,1845,1073,0.4184281842818428
448,191302,1166,674,0.4219554030874786
449,191410,6604,3747,0.43261659600242275
450,191420,4109,2370,0.4232173278169871
451,191500,7556,4255,0.4368713605082054
452,191610,3576,2081,0.4180648769574944
453,191620,2964,1714,0.4217273954116059
454,191710,3657,2118,0.42083675143560295
455,191720,5045,2882,0.42874132804757187
456,191810,5736,3190,0.44386331938633194
457,191820,2765,1598,0.4220614828209765
458,191901,1603,925,0.4229569557080474
459,191902,731,419,0.426812585499316
460,192001,1542,879,0.42996108949416345
461,192002,1078,616,0.42857142857142855
462,192300,778,449,0.42287917737789205
463,192410,1217,713,0.4141331142152835
464,192420,1641,946,0.4235222425350396
465,192510,2294,1333,0.4189189189189189
466,192520,6089,3511,0.42338643455411396
