,census_tract,total_pop,not_impoverished_percap,impoverished_percap
706,222500,5511,3270,0.4066412629286881
707,222600,9025,5066,0.43867036011080335
708,222700,1197,626,0.47702589807852963
709,224010,4267,2311,0.4584016873681744
710,224020,3893,2225,0.428461340868225
711,224200,3458,1968,0.4308849045691151
712,224310,2745,1587,0.42185792349726775
713,224320,5041,2834,0.4378099583415989
714,224410,4442,2532,0.429986492570914
715,224420,3369,1930,0.42712971208073613
716,224600,5158,2829,0.4515316013958899
717,224700,3427,1778,0.4811788736504231
718,226001,3293,1833,0.44336471302763436
719,226002,1188,683,0.42508417508417506
720,226410,5490,3036,0.44699453551912566
721,226420,8231,4497,0.4536508322196574
722,226700,8879,4989,0.43811240004505014
723,227010,6933,3865,0.442521275061301
724,227020,5617,3110,0.44632366031689513
725,228100,8272,4500,0.4559961315280464
726,228210,5571,3113,0.4412134266738467
727,228220,6603,3658,0.4460093896713615
728,228310,6796,3760,0.4467333725721012
729,228320,4190,2407,0.42553699284009544
730,228410,5172,2862,0.4466357308584687
731,228420,5422,2949,0.45610475839173736
732,228500,6561,3762,0.42661179698216734
733,228600,8449,4591,0.4566220854538999
734,228710,7592,4136,0.45521601685985247
735,228720,6356,3577,0.43722466960352424
736,228800,8743,4802,0.45076060848678945
737,228900,5873,3189,0.457006640558488
738,229100,4655,2676,0.4251342642320086
739,229200,6794,3737,0.4499558433912276
740,229300,9537,5167,0.4582153717101814
741,229410,4586,2589,0.43545573484518096
742,229420,4866,2797,0.4251952322235923
743,231100,4565,2488,0.45498357064622125
744,231210,4537,2674,0.41062376019396074
745,231220,6123,3466,0.4339376122815613
746,231300,6481,3801,0.4135164326492825
747,231400,4689,2762,0.4109618255491576
748,231500,3600,2070,0.425
749,231600,9522,5405,0.4323671497584541
750,231710,7833,4304,0.45052980977913953
751,231720,8396,4643,0.4469985707479752
752,231800,8943,4885,0.4537627194453763
753,231900,9627,5245,0.4551781448010803
754,232110,5622,3094,0.4496620419779438
755,232120,8175,4592,0.4382874617737003
756,232200,4282,2427,0.43320878094348436
757,232300,5261,2998,0.4301463600076031
758,232400,8295,4744,0.4280892103676914
759,232500,6008,3417,0.4312583222370173
760,232600,5683,3299,0.4194967446771072
761,232700,6713,3911,0.41739907641888874
762,232800,4885,2787,0.4294779938587513
763,234000,4405,2581,0.4140749148694665
764,234200,1360,789,0.4198529411764706
765,234300,3991,2296,0.4247055875720371
766,234501,3173,1851,0.4166404034037189
767,234502,1882,1103,0.41392136025504783
768,234600,3651,2137,0.41468090933990687
769,234700,3724,2183,0.41380236305048335
770,234800,3261,1927,0.40907697025452316
771,234901,5377,2963,0.44894922819416033
772,234902,6500,3623,0.44261538461538463
773,235100,2080,1212,0.4173076923076923
774,235201,2675,1562,0.4160747663551402
775,235202,7151,4016,0.43840022374493076
776,236000,933,548,0.41264737406216506
777,236000,0,0,
778,236100,6420,3683,0.4263239875389408
779,236202,11778,6328,0.4627271183562574
780,236203,3787,2208,0.4169527330340639
781,236204,5701,3148,0.447816172601298
782,236400,1318,770,0.4157814871016692
783,237101,4452,2574,0.42183288409703507
784,237102,5997,3261,0.4562281140570285
785,237201,3693,2149,0.41808827511508256
786,237202,4319,2496,0.42208844639962956
787,237300,4622,2629,0.43119861531804415
788,237401,2728,1585,0.4189882697947214
789,237402,3502,2015,0.4246145059965734
790,237500,2603,1520,0.41605839416058393
791,237600,6455,3638,0.4364058869093726
792,237710,3802,2215,0.41741188847974753
793,237720,5775,3157,0.4533333333333333
794,990300,0,0,
795,237800,4170,2385,0.42805755395683454
796,237900,2505,1414,0.4355289421157685
797,238000,3324,1865,0.4389290012033694
798,238100,3623,2042,0.43637869169196797
799,238200,3974,2242,0.43583291394061396
800,238310,9417,4996,0.4694701072528406
801,238320,5988,3346,0.44121576486305947
802,238400,2439,1370,0.43829438294382944
803,239201,6429,3515,0.4532586716441126
804,239202,5476,3178,0.4196493791088386
805,239310,4467,2593,0.41952093127378554
806,239320,4670,2703,0.42119914346895077
807,239330,3319,1941,0.4151852967761374
808,239501,4939,2810,0.4310589188094756
809,239502,4046,2341,0.421403855659911
