,CensusTract,name,category1,price,rating,review_count,city,zipcode,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,County
688,6037265202.0,BIBIBOP Asian Grill,Korean,$,4.0,81,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
689,6037272302.0,Little Fatty,American (New),$$,3.5,229,Los Angeles,90066.0,52.7,33.1,5.5,0.0,7.6,0.0,48576.0,26364.0,16.1,Los Angeles
690,6037267700.0,Tasty Noodle House,Shanghainese,$$,3.5,89,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
691,6037264302.0,Soupure Brentwood,Soup,$$,4.5,44,Los Angeles,90049.0,6.4,77.5,1.7,0.0,9.8,0.0,95284.0,78322.0,7.0,Los Angeles
692,6037702803.0,A-Frame,Asian Fusion,$$,3.5,1788,Los Angeles,90066.0,39.4,42.4,4.7,1.5,7.4,0.0,66424.0,31681.0,15.6,Los Angeles
693,6037265202.0,House of Meatballs,Italian,$$,4.0,329,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
694,6037272302.0,Canela Cocina Latina,Mexican,$$,4.5,99,Los Angeles,90034.0,52.7,33.1,5.5,0.0,7.6,0.0,48576.0,26364.0,16.1,Los Angeles
695,6037264302.0,Vincenti Ristorante,Italian,$$$,4.0,168,Los Angeles,90049.0,6.4,77.5,1.7,0.0,9.8,0.0,95284.0,78322.0,7.0,Los Angeles
696,6037265202.0,Pinches Tacos,Mexican,$$,4.0,134,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
697,6037267700.0,Butcher's Dog,Sports Bars,$$,4.0,255,Los Angeles,90064.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
699,6037267700.0,Tsujita LA Artisan Noodle Annex,Ramen,$$,4.0,1372,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
700,6037264301.0,New York Bagel Co.,Bagels,$$,4.0,184,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
701,6037271902.0,The MV Grab and Go,American (New),$$,4.5,29,Los Angeles,90066.0,22.7,57.9,3.5,0.2,9.5,0.0,64423.0,50776.0,9.0,Los Angeles
702,6037267700.0,Killer Noodle Tsujita,Ramen,$$,4.0,276,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
703,6037267402.0,Tokyo Fast Food,Japanese,$,4.0,209,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
704,6037265202.0,The Poke,Poke,$$,4.5,63,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
705,6037267402.0,All India Cafe - West LA,Indian,$$,4.0,420,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
706,6037267501.0,Asakuma Sushi Poke,Poke,$$,4.5,45,Los Angeles,90025.0,41.1,34.7,0.8,0.0,16.8,0.0,66185.0,35156.0,12.4,Los Angeles
707,6037264301.0,Juice Crafters,Juice Bars & Smoothies,$$,4.0,247,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
708,6037265202.0,CAVA,Mediterranean,$$,4.0,302,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
709,6037265202.0,Fat Sal's Deli,Delis,$$,4.0,1023,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
710,6037265202.0,KazuNori  | The Original Hand Roll Bar,Sushi Bars,$$,4.5,485,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
711,6037265202.0,SpireWorks,Sandwiches,$,4.5,218,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
712,6037267700.0,Sawtelle Tempura House,Japanese,$,4.0,175,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
713,6037264301.0,Burger Lounge,Burgers,$$,4.0,348,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
714,6037262100.0,Wolfgang Puck at Hotel Bel-Air,American (New),$$$$,3.5,260,Los Angeles,90077.0,5.1,82.6,1.2,0.0,9.0,0.0,152454.0,112183.0,5.4,Los Angeles
715,6037271300.0,Ramenya,Ramen,$$,4.5,191,Los Angeles,90064.0,19.5,51.0,5.2,0.0,18.9,0.0,72660.0,42026.0,7.4,Los Angeles
716,6037267600.0,Tacos Por Favor,Mexican,$,4.0,344,Los Angeles,90064.0,30.1,45.1,1.6,0.0,18.6,0.0,72500.0,37148.0,9.3,Los Angeles
