,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
550,Idaho,Ada,417501,60972.339354875796,59,85.55591938701942,7.61407996627553,1.0959724647366114,2.5665069065702832,0.46283434051654965,2.5472568927978596,50.030778369393126,49.969221630606874
1768,New Hampshire,Hillsborough,403972,77672.53731446734,85,86.46297193864919,5.846963650946107,2.0479609972968422,3.590256007842129,0.08461898349390554,1.9464641113740546,49.55813769271138,50.44186230728862
2251,Pennsylvania,Bucks,626583,84543.76451483682,142,85.54130019486642,4.739556132228291,3.696750630004325,4.325036108544279,0.12143706420378465,1.5759198701528765,49.01601224418792,50.98398775581208
2630,Texas,Cameron,417947,35038.62554343015,84,10.084274321863772,88.54481931919592,0.40088312632941503,0.6314142702304358,0.06709558867511911,0.27006007938805665,48.231713590479174,51.768286409520826
2707,Texas,Hidalgo,819217,36663.775905529306,112,7.275638567070749,91.03296794378042,0.4282496579050484,0.9982532100774276,0.06606588974594034,0.18979391296811496,48.73360782307984,51.266392176920164
3060,Washington,Spokane,480832,52712.97035139092,105,85.74106839810995,5.060438365167044,1.7250831891388259,2.290013143883934,1.2673420238253692,3.51425653866631,49.54765905763344,50.45234094236657
