,White,Black,Asian,Hispanic
count,3634.0,3634.0,3634.0,3634.0
mean,31.719207484865056,7.412190423775451,14.390946615299846,43.43635112823327
std,26.610430411654693,12.736976368614782,14.735604433638779,29.646555661615864
min,0.0,0.0,0.0,0.0
25%,6.1,1.1,4.2,16.7
50%,25.85,3.2,9.9,39.1
75%,56.0,6.9,19.7,68.77499999999999
max,100.0,88.5,89.4,100.0
